name,price,url
Les Sports Bandier 1/2 Zip Sweatshirt,"<span class=""ProductItem__Price Price Price--highlight Text--subdued"">Rs. 13,100.00",/en-in/products/les-sport-bandier-1-2-zip-sweatshirt-white-cordovan?_pos=72&_fid=1f5722e70&_ss=c
Short Sleeve Off Shoulder Sweatshirt in French Terry,"Rs. 12,500.00",/en-in/products/short-sleeve-off-shoulder-sweatshirt-white?_pos=73&_fid=1f5722e70&_ss=c
Short Sleeve Pocket Tee,"Rs. 7,100.00",/en-in/products/short-slv-pocket-tee-white?_pos=74&_fid=1f5722e70&_ss=c
Gio Wave Top,"Rs. 15,800.00",/en-in/products/gio-wave-top-chantilly-black?_pos=75&_fid=1f5722e70&_ss=c
Slouchy Knit Sweater,"Rs. 14,300.00",/en-in/products/oversized-off-shoulder-sweater-black?_pos=76&_fid=1f5722e70&_ss=c
Tuxedo Mock Neck Top,"Rs. 10,700.00",/en-in/products/tuxedo-mock-neck-top-black?_pos=77&_fid=1f5722e70&_ss=c
Strappy Tank in Melt,"Rs. 9,800.00",/en-in/products/strappy-tank-in-melt-black?_pos=78&_fid=1f5722e70&_ss=c
Wide Scoop Bra Tank in Melt,"Rs. 8,900.00",/en-in/products/wide-scoop-bra-tank-black?_pos=79&_fid=1f5722e70&_ss=c
Front Twist Tank,"Rs. 6,200.00",/en-in/products/front-twist-tank-black?_pos=80&_fid=1f5722e70&_ss=c
Center Stage Tank,"Rs. 8,200.00",/en-in/products/center-stage-tank-black?_pos=81&_fid=1f5722e70&_ss=c
Rivington Ribbed Long Sleeve Top,"Rs. 8,000.00",/en-in/products/rivington-ribbed-long-sleeve-top-black?_pos=82&_fid=1f5722e70&_ss=c
Wide Scoop Bra Tank in Melt,"Rs. 8,900.00",/en-in/products/wide-scoop-bra-tank-white?_pos=83&_fid=1f5722e70&_ss=c
Long Sleeve Wrap Top in Melt,"Rs. 11,600.00",/en-in/products/long-sleeve-wrap-top-white?_pos=84&_fid=1f5722e70&_ss=c
Puff Sleeve Full Zip Top,"<span class=""ProductItem__Price Price Price--highlight Text--subdued"">Rs. 12,100.00",/en-in/products/puff-sleeve-full-zip-top-white-sweet-lavendar?_pos=85&_fid=1f5722e70&_ss=c
Off Shoulder Sweatshirt in French Terry,"Rs. 13,400.00",/en-in/products/off-shoulder-sweatshirt-white?_pos=86&_fid=1f5722e70&_ss=c
Long RacerBack Tank,"Rs. 6,200.00",/en-in/products/long-racerback-tank-honeysuckle?_pos=87&_fid=1f5722e70&_ss=c
Off Shoulder Raw Edge Sweatshirt in French Terry,"Rs. 13,400.00",/en-in/products/off-shoulder-raw-edge-sweatshirt-honeysuckle?_pos=88&_fid=1f5722e70&_ss=c
Long Sleeve Off Shoulder Tee,"Rs. 8,000.00",/en-in/products/long-sleeve-off-shoulder-tee-hawthorn-rose?_pos=89&_fid=1f5722e70&_ss=c
One Shoulder Convertible Tank in Heather Melt,"Rs. 9,800.00",/en-in/products/one-shoulder-tank-hawthorn-rose-heather?_pos=90&_fid=1f5722e70&_ss=c
Off Shoulder Raw Edge Sweatshirt in French Terry,"Rs. 13,400.00",/en-in/products/off-shoulder-raw-edge-sweatshirt-quiet-harbor?_pos=91&_fid=1f5722e70&_ss=c
One Shoulder Convertible Tank in Heather Melt,"Rs. 9,800.00",/en-in/products/one-shoulder-tank-quiet-harbor?_pos=92&_fid=1f5722e70&_ss=c
Short Sleeve Pocket Tee,"Rs. 7,100.00",/en-in/products/short-sleeve-pocket-tee-quiet-harbor?_pos=93&_fid=1f5722e70&_ss=c
Rachel Sailor Open Stitch Pullover,"Rs. 12,600.00",/en-in/products/rachel-sailor-open-stitch-pullover-forever-blue-multi-1?_pos=94&_fid=1f5722e70&_ss=c
Long RacerBack Tank,"Rs. 6,200.00",/en-in/products/long-racerback-tank-sweet-lavender?_pos=95&_fid=1f5722e70&_ss=c
Super Oversized Boyfriend NK Shirt Bodysuit,"Rs. 14,000.00",/en-in/products/super-oversized-boyfriend-nk-shirt-bodysuit-misty-blue?_pos=96&_fid=1f5722e70&_ss=c
